"id","ruc","razon_social","departamento","provincia","distrito","direccion","cobertura","estado","created_at","updated_at"
"83","20605045244","TRANSPORTES SAUL RUIZ E.I.R.L.","LIMA","LIMA","LA VICTORIA","JR. JIRON RAIMONDI 978",,,,"2024-04-02 22:44:55"
"84","20609930552","MEKARTER","LIMA","LIMA","SAN MARTIN DE PORRES","Jr. Pedro Davalos Lisson N° 14 / Oficina 104 lima cercado/ Referencia: Cuadrante la av. Garcilaso de la vega y Jr. Quilca",,,,"2024-04-08 21:46:27"
"85","20602533213","HUAPAYA EXPRESS SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA","LIMA","LIMA","LA VICTORIA","PRO.ANDAHUAYLAS NRO. 218",,,,
"86","20498189637","AREQUIPA EXPRESO MARVISUR EIRL","LAMBAYEQUE","CHICLAYO","CHICLAYO","CALLE TACNA NRO. 999 ESQ.CON SARMIENTO",,,,
"87","20562844199","TODO CARGO E.I.R.L.","LIMA","LIMA","LA VICTORIA","Jr. Luna Pizarro 592 la victoria",,,,
"88","20608241931","EXPRESO PARI S.A.C.","LIMA","LIMA","LA VICTORIA","R. FRANCIA MZA. 56 LOTE. 13 (ALT CDRA 12 DE AV ABTAO CON JR FRANCIA)",,,,
"89","20572235379","AGENCIA “Peralta Paredes Cargo”","LIMA","LIMA","LA VICTORIA","JR. HIPOLITO UNANUE 808 - LA          VICTORIA",,,,
"90","20511464685","CARGO LOS ANDES S.R.L.","LIMA","LIMA","SAN LUIS","JR. RIO TUMBES NRO. 285 URB. LAS MORAS (ALT.CDRA 8 AV.SAN JUAN)",,,,"2024-04-25 21:48:27"
"91","20608632761","TRANSPORTES ""MINAYA""","LIMA","LIMA","SAN MARTIN","MZA. F LOTE. 11 P.J. C. MARIATEGUI",,,,
"92","20544441923","RABBIT EXPRESS S.A.C","23RA","LIMA","LA VICTORIA","AV. DE LAS AMERICAS 1363","-",,,"2024-05-11 16:39:52"
"93","20556552780","EMPRESA DE SERVICIOS MULTIPLES EUROCHANKA SOCIEDAD ANONIMA CERRADA - EUROCHANKA","LIMA","LIMA","LA VICTORIA","JR ANDAHUAYLAS 935 / Referencia cruce con Isabel La Catolica",,,,
"94","20606494921","TRANSPORTE BURGA CARGO S.A.C.","LIMA","LA VICTORIA","LA VICTORIA","MANUEL CISNEROS 394","CAJAMARCA",,,
"95","10104113376","EL ZORRO / OCAÑO GARCIA EPIFANIO RUFINO","LIMA","LIMA","PUENTE PIEDRA","D, Puente Piedra 15117","-",,,"2024-05-23 16:36:12"
"96","20601353878","TRANSPORTE PRUEBA","CUSCO","CUSCO","CUSCO","San Carlos","Cusco2",,,
"97","20606980168","LINEA INTERPROVINCIAL DE TRANSPORTE DEL NORTE S.A.C.","LIMA","LIMA","LIMA","AV. PASEO DE LA REPUBLICA NRO. 646 URB. SANTA BEATRIZ",,,,
"98","20611785241","INVERSIONES 4VILLANUEVAS E.I.R.L.","LIMA","LIMA","SAN MARTIN DE PORRES","AV TOMAS VALLE 1169 URB SAN AMADEO DE GARAGAY",,,,"2024-05-27 22:05:05"
"99","20490200402","MCJ CARGO EXPRESS","LIMA","LIMA","LA VICTORIA","JR MERINO MENDOZA N°660",,,,
"100","20542646820","JATSA SERVICIOS GENERALES E.I.R.L.","LIMA","LIMA","LA VICTORIA","Av. Parinacochas, La Victoria 15033","-",,,"2024-06-03 23:08:57"
"101","20120545303","CENTRAL PERU S.A","LIMA","LIMA","LINCE","AV. AREQUIPA NRO. 2644","CHICLAYO, PIURA, TARMA, HUANCAYO, CAJAMARCA, TRUJILO, CERRO DE PASCO, LA OROYA",,,
"102","20564099989","TRANSPORTE DE CARGA GUIZADO S.A.C","LIMA","LIMA","SAN LUIS","Jr.rio piura 286 san luis","AYACUCHO - APURIMAC",,,"2024-06-10 14:40:08"
"103","20606440856","COMPAÑIA LOGISTICA VELSAN S.A.C","LIMA","LIMA","LA VICORIA","JR. MENDOZA MERINO 880 - LAVICTORIA","LA LIBERTAD - CHEPEN",,,
"104","20555954884","EXPRESO EL ALTIPLANO S.R.L.","LIMA","LIMA","LA VICTORIA","JIROR HIPOLITO UNANUE N° 682 LA VICTORIA",,,,"2025-10-28 21:06:17"
"105","10464893283","TRANSPORTES ANDESKAR","LAMBAYE","CHICLAYO","LA VICTORIA","Antenor Orrego 1863  la victoria","LA LIBERTAD - CHICLAYO",,,
"106","20603162499","PLACACENTRO DEL NORTE E.I.R.L","LIMA","LIMA","SAN MARTIN DE PORRES","Auxiliar Avenida Tomás Valle 1115, Lima 15103","JANE - BAGUA - SAN IGNACIO",,,"2024-06-17 16:07:43"
"107","20607981702","EXPRESO ALFREDITO SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA","LIMA","LIMA","LA VICTORIA","JR HIPOLITO  UNANUE N 808",,,,
"108","20611599197","VILCANOTA EXPRESS S.A.C.","LIMA","LIMA","LA VICTORIA","JR. OBREROS NRO. 631",,,,
"109","20603079915","CORPORACION RB ESPINOZA SOCIEDAD ANONIMA CERRADA","LIMA","LIMA","LURIGANCHO","Ovalo huañi huachipa lurigancho / Está por la prialé  paradero estadio",,,,"2024-06-27 17:18:32"
"110","20508074281","EXPRESO GRAEL SOCIEDAD ANONIMA CERRADA","LIMA","LIMA","LA VICTORIA","JR. ABTAO N° 698","CUSCO",,,"2024-07-04 15:12:04"
"111","20507614109","SAN PEDRO CARGO SOCIEDAD ANONIMA CERRADA","LIMA","LIMA","LA VICTORIA","28 de julio 1538","PASCO - HUANUCO - LA MERCED",,,
"112","20507614109","SAN PEDRO CARGO SOCIEDAD ANONIMA CERRADA","LIMA","LIMA","LA VICTORIA","28 de julio 1538","PASCO - HUANUCO - LA MERCED",,,
"113","20498189637","AREQUIPA EXPRESO MARVISUR EIRL","LIMA","LIMA","LA VICTORIA","JR RENOVACION 530","HUANUCO,TINGO MARIA, CERRO DE PASCO, PUCALLPA",,,
"114","20498189637","AREQUIPA EXPRESO MARVISUR EIRL","JUNIN","HUANCAYO","CHILCA","AVENIDA LEONCIO PRADO 814",,,,
"115","20604037167","EMPRESA DE TRANSPORTES Y SERVICIOS MULTIPLES EL SANTEÑITO EXPRESS S.A.C","LIMA","LIMA","LA VICTORIA","Pj Raimondi 230, Cercado de Lima 15033, Perú","LA LIBERTAD",,,
"116","20610394478","TRADEINDEO E.I.R.L.","JUNIN","LIMA","LIMA - SAN LUIS","AVENIDA CIRCUNVALACIÓN 1964 - SAN LUIS",,,,"2024-07-25 17:58:21"
"117","20612432512","TRANSPORTE AGAEL S.A.C","lima","lima","LA VICTORIA","Jr Hipolito unanue 808","AREQUIPA, PUNO , JULIACA, CUSCO, TACNA, PTO, MALDONADO, TUMBES, PIURA, CHICLAYO, TRUJILLO, IQUITOS, TARAPOTO, PUCALLPA",,,
"118","20162574435","AREQUIPA EXPRESS COMITE 4 S.C.R.L.","LIMA","LIMA","LA VICTORIA","Jr. Luna Pizarro 594, Lima 15033",,,,
"119","20605203346","CORPORACION P&S TRAVEL ADVENTURE E.I.R.L.","LIMA","LIMA","LA VICTORIA","Jirón Luna Pizarro 369 La victoria",,,,"2024-08-29 16:31:28"
"120","20600789083","TRANSPORTES TERESITA CARGO EXPRÉS EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","LIMA","LIMA","LA VICTORIA","PROLONGACION HUAMANGA 199","TARMA",,,"2024-09-04 15:02:11"
"121","10404568201","CAPIA MAMANI NOHEMI","LIMA","LIMA","LA VICTORIA","San Cristóbal 738-790, Lima 15033","-",,,"2024-09-04 22:28:24"
"122","20600876211","GRAU LOGISTICA EXPRESS S.A.","ANCASH","SANTA","CHIMBOTE","Av. Pardo 2332, Chimbote 02801","-",,,
"123","20605657649","CORPORACION CENTRAL EXPRESS S.R.L.","JUNIN","HUANCAYO","HUANCAYO","JR TARAPACA 1001",,,,
"124","20539375271","TRANSPORTES CENTELLA S.R.L.","AREQUIPA","AREQUIPA","Jose Luis Bustamante y Rivero- Arequipa","Av.andres Avelino Cáceres 310 / Jose Luis Bustamante y Rivas",,,,"2024-10-03 15:01:29"
"125","20600876211","GRAU LOGISTICA EXPRESS S.A.","PIURA","PAITA","PAITA","Cerro Ahorcado, Carretera Panamericana Norte Piura-Sullana Km. 1010.5","PAITA",,,
"126","20297863135","Transporte Sanson","LIMA","LIMA","LA VICTORIA","Av Pablo Patron 329, Lima 15019","-",,,
"127","20508074281","EXPRESO GRAEL SOCIEDAD ANONIMA CERRADA","CUSCO","SICUANI","SICUANI","AZ . PANAMERICANA SUR LT 3 COSTADO DE GRIFO CORIMANYA",,,,
"128","10441760367","QUISPE CASTELLANOS CESAR","LIMA","LIMA","LA VICTORIA","Prolongacion Andahuylas 876 jara express",,,,
"129","10403140746","VARGAS CHAUCA VLADIMIR NUMA","AREQUIPA","AREQUIPA","AREQUIPA","CALLE ISAAC RECABARREN 211",,,,
"130","20607981702","EXPRESO ALFREDITO SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA","AREQUIPA","AREQUIPA","AREQUIPA","CAL.UNION NRO. 32 OTR. CERCADO (FRENTE A LA CRUZ ROJA)",,,,
"131","20568061994","EXPRESO WARIVILCA PERU S.R.L.","LIMA","LIMA","LIMA","Carlos Zavala 145 - cercado de lima- al costado de ex terminal Ormeño.",,,,
"132","20601906911","TRANSPORTES DE CARGA EXPRESO ALFOCAR S.R.L.","AREQUIPA","AREQUIPA","SOCABAYA","CAL.PUMACAHUA NRO. 207 P.J. 4 DE OCTUBRE","-",,,"2024-11-04 17:53:09"
"133","20613259768","HUALPA SH EXPRESS S.A.C.","lima","LIMA","LA VICTORIA","JR MENDOZA MERINO 942 LA VICTORIA",,,,
"134","20601097762","INVERSIONES VAGNER SOCIEDAD ANONIMA CERRADA - INVERSIONES VAGNER S.A.C.","LIMA","LIMA","SANTA ANITA","CALLE 32 , Mza: C 06 Lote: 09, Urb. Residencial Sta Anita - Sta Anita - Lima",,,,
"135","10454548367","CASTRO MAMANI LUZ MARINA","PUNO","SAN ROMAN","JULIACA","av huancane  con  pasaje  los huancheros   n.114",,,,
"136","20490200402","MCJ CARGO EXPRESS","CUSCO","CUSCO","WANCHAQ","Av república de Bolivia pasaje Miraflores c-9 wanchac, Cusco",,,,
"137","20606379898","PUCALLPA EXPRESO MAJUORIENTE E.I.R.L","Ucayal","Calleria","Coronel Portillo","JR MENDOZA MERINO 942 LA VICTORIA",,,,
"138","20601421004","TRANSPORTES MULTISERVICIOS BASHUALDO'S S.A.C.","LIMA","LIMA","LIMA","Av. 28 de Julio 2195, La Victoria 15018",,,,
"139","20536727524","COSTEÑO ALIMENTOS S.A.C.","LIMA","LIMA","MAGDALENA DEL MAR",".CONTRALMIRANTE MONTERO NRO. 429 INT. 301",,,,
"140","20607603481","TRANSPORTES & DISTRIBUCIONES APOL'C S.R.L.","LIMA","LIMA","SAN MARTIN","CAL.CALLE NRO. 512 OTR. RICARDO O' DONOVAN (FRENTE AL PARQUE SAN MARTIN)",,,,
"141","20477167307","TUNESA EXPRES S.A.C.","LIMA","LIMA","LA VICTORIA","AV. Paseo de la Republica 1001","CHIMBOTE, CHAO, TRUJILLO, HUAMACHUCO, CHUCO, ARENA",,,"2025-02-27 22:27:18"
"142","20556186741","TRANSPORTES Y EVENTOS J & R S.A.C","LIMA","LIMA","LIMA","CAL.PRIMERO DE MAYO NRO. 363 OTR. CERCADO DE LIMA","LIMA",,,
"143","20600876211","GRAU LOGISTICA EXPRESS S.A.","CHICLAYO","CHOSICA DEL NORTE","LA VICTORIA","Mz. 34 Lt. 3",,,,
"144","10740719594","TOLENTINO BAZAN FRAN DIEGO - TRANSCARGA","LIMA","LIMA","LA VICTORIA","RENOVACIÓN 357",,"1",,"2025-06-18 22:47:21"
"145","20547560460","TRANSPORTE CARGO EL RAYO S.A.C.","LIMA","LIMA","LA VICTORIA","JR. HIPOLITO UNANUE 850","PIURA",,,
"146","20551024068","PROSERLIM S.R.L.","LIMA","LIMA","PUENTE PIEDRA","LOS CEREZOS 15116",,,,
"147","20611130067","EMPRESA DE TRANSPORTE EXPRESO SAYA E.I.R.L.","LIMA","LIMA","LA VICTORIA","AV. LUNA PIZARRO NRO 1264",,,,
"148","10702994034","CHIPANA TICONA DUHANER",,,,,,,,
"149","20604567948","EMPRESA DE CARGA REY & K S.A.C.","LIMA","LIMA","LA VICTORIA","AV. BAUSATE Y MEZA 911",,,,
"150","20613544306","EMPRESA DE TRANSPORTES LOGISTICO CARHUAMAYO CARGO S.A.C.","LIMA","LIMA","LA VICTORIA","AV. BAUSATE Y MEZA 690","YANACANCHA PASCO",,,
"151","20611984635","BASHUALDO SOCIEDAD ANÓNIMA CERRADA","LIMA","LIMA","LA VICTORIA","JR. AGUSTIN GAMARRA Nº237",,,,
"152","20601451175","MULTISERVICIOS BALDEON & JUNIN EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","LIMA","LIMA","LA VICTORIA","AV. LUNA PIZARRO NRO 234",,,,
"153","10740719594","TOLENTINO BAZAN FRAN DIEGO - LOGISTICA YA ACOK AGIL Y SEGURA","LIMA","LIMA","LA VICTORIA","JR. RENOVACION 300",,,,
"154","20607905283","TRANSPORTES GRAN PANAMEÑO SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA","LIMA","LIMA","LA VICTORIA","AV. LUNA PIZARRO 433","PACHITEA",,,"2025-06-09 18:03:44"
"155","20613544306","EMPRESA DE TRANSPORTES LOGISTICO CARHUAMAYO CARGO S.A.C.","LIMA","LIMA","LA VICTORIA","JR. OBREROS NRO 177",,,,
"156","20610324291","MULTISERVICIOS TRANSPORTES & DISTRIBUCIONES EVANAN E.I.R.L.","AYACUCHO","HUAMANGA","AYACUCHO","JR. QUINUA NRO. 520 - DETRAS DE LA CLINICA NAZARENO","LIMA",,,
"157","20614277221","MULTISERVICIOS TRANSPORTES & DISTRIBUCIONES EVANAN CARGO E.I.R.L.","LIMA","LIMA","LA VICTORIA","PROLONGACIÓN ANDAHUAYLAS 313",,,,
"158","20611599197","VILCANOTA EXPRESS S.A.C.","CUSCO","CUSCO","SANTIAGO","URB. HUANCARO 1-2-3","SICUANI",,,
"159","20602395040","APUSUR CARGO E.I.R.L","LIMA","LIMA","LA VICTORIA","JR. RENOVACION 555 - LA VICTORIA","ABANCAY",,,
"160","20600876211","GRAU LOGISTICA EXPRESS S.A.","LA LIBERTAD","TRUJLLO","TRUJLLO","AV. AMERICA SUR NRO 2104 URB SANTA MARIA","CHIMBOTE",,,"2025-09-03 21:29:57"
"161","20611130067","EMPRESA DE TRANSPORTE EXPRESO SAYA E.I.R.L.","LIMA","LIMA","LA VICTORIA","AVENIDA LUNA PIZARRO N° 322","MADRE DE DIOS",,,
"162","10740719594","TOLENTINO BAZAN FRAN DIEGO - LOGISTICA YA ACOK AGIL Y SEGURA","LIMA","LIMA","LA VICTORIA","JR. RENOVACIÓN 318",,,,"2025-09-12 22:06:47"
"163","10740719594","TOLENTINO BAZAN FRAN DIEGO - LOGISTICA YA ACOK AGIL Y SEGURA","LIMA","LIMA","LA VICTORIA","Av. 28 de julio 1581, Ref. Terminal La Merced interior 7",,,,
"164","20498189637","AREQUIPA EXPRESO MARVISUR EIRL","LIMA","LIMA","LA VICTORIA","Jr. Humboldt 980 esq. con Jr Cangallo 600 - La Victoria","Arequipa, Espinar, Challhuahuacho, Velille, Santo Tomás, Sicuani",,,
"165","10740719594","TOLENTINO BAZAN FRAN DIEGO - LOGISTICA YA ACOK AGIL Y SEGURA","LIMA","LIMA","SAN LUIS","RIO NAZCA 243",,,,
"166","20132757187","EMPRESA DE TRANSPORTES EXPRESO LOBATO SOCIEDAD ANONIMA CERRADA","LIMA","LIMA","LA VICTORIA","Av. 28 de Julio 2101, La Victoria 15018",,,,
"167","20602900747","EXPRESSO BENAVIDES S.A.C.","LIMA","LIMA","LA VICTORIA","Jr. Manuel Cisneros 299, La Victoria 15033",,,,
"168","20614277221","MULTISERVICIOS TRANSPORTES & DISTRIBUCIONES EVANAN CARGO E.I.R.L.","AYACUCHO","HUAMANGA","AYACUCHO","JR. QUINUA NRO. 520 - DETRAS DE LA CLINICA NAZARENO","AYACUCHO",,,
"169","20513877324","EMPRESA DE TRANSPORTES MARIN HERMANOS SOCIEDAD ANONIMA CERRADA","LIMA","LIMA","LOS OLIVOS","AV. UNIVERSITARIA CD 38 MZA. A LOTE. 12",,,,
"170","20612084956","TRANSPORTE CURRIER SOLANO S.R.L.","ANCASH","HUARAZ","HUARAZ","Jr.Damaso Antúnez 748, Barrio Belén",,,,
"171","20602612911","EL AGUILA CARGO EXPRESS S.A.C.","LIMA","LIMA","LA VICTORIA","PRO.CANGALLO NRO. 667 URB. EL PORVENIR",,,,
"172","20602612911","EL AGUILA CARGO EXPRESS S.A.C.","LAMBAYEQUE","CHICLAYO","JOSE LEONARDO ORTIZ","San Marcos MZ B, José Leonardo Ortiz 14002",,,,"2025-12-04 15:07:22"
"173","20601470561","SERVICIO DE TRANSPORTES DE CARGA MIGRIVAL S.R.L.","LIMA","LIMA","LA VICTORIA","JR. HIPOLITO UNANUE 811",,,,"2025-12-11 14:58:34"
"174","20608751531","TRANSERVIS MARY E.I.R.L.","LIMA","LIMA","LA VICTORIA","JR. MANUEL CISNEROS NRO. 1020 (A 1.5 CDRAS DEL ESTADIO ALIANZA LIMA)",,,,
"175","10722569445","RIVERA SALAZAR JORGE LUIS - RIVERA CARGO","LIMA","LIMA","LIMA/CENTRO","LUNA PIZARRO 424 / CRUCE 28 DE JULIO",,,,"2025-12-23 18:05:10"
"176","10722569445","RIVERA SALAZAR JORGE LUIS","LIMA","LIMA","LIMA/CENTRO","LUNA PIZARRO 424 / CRUCE 28 DE JULIO",,,,
"177","20600876211","GRAU LOGISTICA EXPRESS S.A.","Lambayeque","Chiclayo","La Victoria","Mz. 34 Lt. 3 – La Victoria – Chosica del Norte",,,,
"178","20611379065","OPERADOR LOGISTICO POOL E.I.R.L.","LIMA","LIMA","ATE","PROLONGACIÓN MARISCAL DOMINGO NIETO 217 - LOS SAUCES ATE",,,,"2026-01-05 14:17:31"
"179","20605392416","VIAJES PERU COURIER EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","LIMA","LIMA","LA VICTORIA","JR Antonio Basso N 1490 con av México frente a Gamarra",,,,
"180","20602567762","TRANSPORTES JOSY SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA - TRANSPORTES JOSY S.R.L.","LIMA","LIMA","LA VICTORIA","Jr. Hipólito Unanue N° 808,  Ref. Estadio Matute",,,,
